@relation 'dataframe-weka.filters.unsupervised.attribute.StringToNominal-R18-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NC:A,D:B,N:?-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R14-15-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast'

@attribute age numeric
@attribute sex {'M','F'}
@attribute inhabitants numeric
@attribute unemployment_rate numeric
@attribute comm_crimes numeric
@attribute issuance_frequency {'MONTHLY ISSUANCE','ISSUANCE AFTER TRANSACTION','WEEKLY ISSUANCE'}
@attribute average_credit numeric
@attribute max_credit numeric
@attribute min_credit numeric
@attribute average_withdrawal numeric
@attribute max_withdrawal numeric
@attribute min_withdrawal numeric
@attribute card {'Y','N'}
@attribute stato {1,0}

@data
60,'M',51428,3.98,1099,'MONTHLY ISSUANCE',54416.316129,78602.6,48969,40655.753333,85108.6,12470.6,'N',1
51,'F',53921,3.26,1875,'MONTHLY ISSUANCE',25586.266667,35735.1,22850.8,20188.7,66414.6,800,'N',1
25,'F',95907,2.94,1668,'MONTHLY ISSUANCE',23854.111538,33799.5,400,23739.2,57554.6,4100,'Y',1
24,'M',93931,1.54,1913,'MONTHLY ISSUANCE',36385.302941,128395.5,183.6,30910.5875,101700,8738.6,'Y',1
32,'M',75685,2.26,2123,'MONTHLY ISSUANCE',22557.85,31053.6,20607.6,22040.035714,48167.6,10024.6,'Y',1
52,'M',77963,4.02,3120,'MONTHLY ISSUANCE',49756.113333,153930.3,170.9,46566.523077,86562.6,3200,'Y',1
59,'F',103347,2.07,2354,'MONTHLY ISSUANCE',17685.511111,25690.6,15140.6,17368.974419,33534.3,1999.9,'Y',0
23,'M',102609,5.45,2134,'MONTHLY ISSUANCE',62738.45,174260.6,7181.7,58176.752941,168847.6,12147.6,'Y',1
33,'F',1204953,0.43,99107,'MONTHLY ISSUANCE',11483.972059,22785.4,1000,10981.563636,30883.6,600,'Y',1
34,'F',1204953,0.43,99107,'MONTHLY ISSUANCE',15384.406897,23723.7,300,15409.288889,45741.6,2500,'Y',1
59,'M',70646,3.64,1542,'WEEKLY ISSUANCE',29613.735849,137440.1,127.3,22767.237255,123713,30,'Y',0
62,'M',88884,1.85,2674,'WEEKLY ISSUANCE',56563.994737,129458.2,144.1,49726.144444,145955,12955,'Y',1
44,'F',1204953,0.43,99107,'MONTHLY ISSUANCE',26033.048,37478.3,400,25801.930435,54443.6,9523.6,'Y',1
28,'M',58796,3.6,1879,'MONTHLY ISSUANCE',46981.0375,68145.9,700,44901.4,107708,10800,'Y',1
36,'M',58796,3.6,1879,'MONTHLY ISSUANCE',52742.571429,132648.1,236.9,44949.829412,131863.6,9463.6,'N',1
44,'F',85852,8.23,2822,'MONTHLY ISSUANCE',11694.359259,18876,300,10544.744,23768.6,100,'Y',1
20,'M',86513,4.52,1460,'WEEKLY ISSUANCE',45502.926761,64796.3,600,38346.628571,101264,7000,'N',1
30,'F',323870,5.44,18347,'MONTHLY ISSUANCE',45117.780282,216298.1,105.9,40640.54,211314.6,2168.4,'N',1
58,'F',67298,1.29,1127,'MONTHLY ISSUANCE',16971.426471,28111.9,200,15496.65,38552.6,4300,'N',1
49,'M',81344,3.97,2487,'MONTHLY ISSUANCE',39317.552778,55856.4,700,37279.257143,80614.6,8200,'N',1
32,'M',145688,1.86,2906,'MONTHLY ISSUANCE',19499.425806,27529.5,1000,17677.689655,45889.6,7900,'Y',1
25,'F',81344,3.97,2487,'MONTHLY ISSUANCE',37474.622642,142910,189.7,33320.944,133237.6,8737.6,'N',1
42,'M',53921,3.26,1875,'WEEKLY ISSUANCE',45115.226316,126708.4,139.1,45203.055556,111230,6300,'N',1
28,'M',119895,9.4,4743,'MONTHLY ISSUANCE',6544.934043,13654.4,5748.1,6519.436364,12208.6,1200,'Y',1
32,'M',77963,4.02,3120,'MONTHLY ISSUANCE',20110.703333,27930.4,500,20681.3,44780.6,3200,'Y',1
46,'F',387570,1.96,18696,'MONTHLY ISSUANCE',26738.576923,91530.6,134.3,22269.25,76014.6,3614.6,'Y',1
41,'F',161954,4.5,3651,'MONTHLY ISSUANCE',17783.646774,24546.3,900,17549.534426,44299.6,200,'Y',1
55,'F',228848,4.72,5887,'MONTHLY ISSUANCE',23705.625,33452.3,1000,23385.046154,38043.6,10100,'Y',1
49,'F',94725,2.87,4846,'MONTHLY ISSUANCE',34737.952632,49231,31732.8,30151.082143,55615.6,11300,'Y',1
38,'M',157042,2.43,3894,'MONTHLY ISSUANCE',16616.138889,37475.5,1100,16362.437143,65722,4800,'Y',1
38,'M',88757,2.68,2218,'MONTHLY ISSUANCE',13851.956667,21369.6,300,13300.085714,25886.6,2300,'N',1
32,'F',106054,6.55,3079,'MONTHLY ISSUANCE',31833.5,191517,0.8,28458.316667,184334.6,1085,'Y',0
35,'F',108871,3.47,2305,'MONTHLY ISSUANCE',41627.048529,161042.4,103.4,37761.955224,140755.1,7750.6,'Y',1
35,'F',92084,0.54,4316,'ISSUANCE AFTER TRANSACTION',27749.379167,37353.2,24770.9,23250.834043,47238.3,600,'Y',1
61,'M',1204953,0.43,99107,'MONTHLY ISSUANCE',25442.532857,46867.6,19220.2,22478.183824,56498.6,8900,'Y',1
59,'F',67298,1.29,1127,'WEEKLY ISSUANCE',39018.89375,146559.5,68.9,45366.92,130240.5,1200,'Y',1
59,'M',45714,3.6,888,'MONTHLY ISSUANCE',19334.307895,101309,117.3,16011.016216,97014.6,14.6,'Y',0
20,'F',106054,6.55,3079,'MONTHLY ISSUANCE',43274.473684,63374.3,600,34948.638889,66814.6,8300,'Y',0
51,'M',139012,3.49,2799,'MONTHLY ISSUANCE',22791.157143,35245,20420.8,21101.505263,50958.6,8558,'N',1
28,'F',51313,4.2,1452,'WEEKLY ISSUANCE',49259.9625,172864.2,121.7,42190.784615,148616,6100,'N',1
34,'M',162580,1.81,5410,'MONTHLY ISSUANCE',11445.244444,20897.1,400,11445.706977,28488.6,300,'Y',1
20,'M',159617,4.28,6132,'WEEKLY ISSUANCE',22091.1625,42444.4,900,15755.272727,58778,630,'Y',1
28,'M',105606,3.76,2325,'MONTHLY ISSUANCE',48838.845833,68906.5,44879,41232.2,104231.6,3331.6,'Y',1
57,'M',93931,1.54,1913,'MONTHLY ISSUANCE',26139.58,123676.9,53.9,22373.99,69614.6,2931,'Y',1
56,'M',161854,2.5,3891,'MONTHLY ISSUANCE',10292.630435,24499.4,300,9279.181818,32676.6,1800,'Y',1
32,'F',78955,2.44,1717,'MONTHLY ISSUANCE',20063.526087,33591.9,500,14584.884091,36414.6,3031.3,'Y',1
25,'F',70699,3.35,1910,'MONTHLY ISSUANCE',40472.678571,93274.3,222.3,41148.691667,92080.8,7700,'N',1
34,'M',119895,9.4,4743,'ISSUANCE AFTER TRANSACTION',32346.768421,151838.1,224.8,28461.297297,115224,100,'N',1
25,'F',197099,2.31,4265,'ISSUANCE AFTER TRANSACTION',53401.54,81533.2,600,44555.257143,100900,10100,'Y',1
50,'M',85852,8.23,2822,'MONTHLY ISSUANCE',10175.644615,16931.9,8893,10116.730159,25917.6,6117.6,'Y',1
36,'M',228848,4.72,5887,'MONTHLY ISSUANCE',49796.74,157938.8,77.8,49361.25,177405.6,10628.8,'Y',1
39,'M',149893,5.05,5892,'WEEKLY ISSUANCE',41623.148148,60189.4,200,35685.484615,85393,6800,'Y',1
30,'M',74062,2.62,1181,'WEEKLY ISSUANCE',16163.07619,21726.5,14456.8,13660.447368,34486,4586,'Y',1
34,'F',228848,4.72,5887,'MONTHLY ISSUANCE',21970.43871,30524.2,19920.3,21258.455172,35450.6,10000,'Y',1
41,'M',75232,2.21,2813,'MONTHLY ISSUANCE',36399.977778,61996,900,27862.692958,77314.6,4500,'N',1
52,'F',149893,5.05,5892,'MONTHLY ISSUANCE',38230.030556,138357.1,78.1,29764.414085,152214.6,14.6,'Y',0
59,'M',162580,1.81,5410,'MONTHLY ISSUANCE',34158.941176,47796.7,400,28777.58209,51989.3,8889.3,'Y',1
26,'M',127369,5.88,2807,'WEEKLY ISSUANCE',34922.301538,137783.3,39.2,30753.784615,131049,30,'Y',1
55,'M',228848,4.72,5887,'WEEKLY ISSUANCE',39495.732,99408,202.6,36476.791667,115441,2500,'N',1
45,'M',149893,5.05,5892,'MONTHLY ISSUANCE',26263.547727,40086.7,500,25287.204651,54425.6,4700,'Y',1
53,'F',161954,4.5,3651,'MONTHLY ISSUANCE',13842.917857,18151.5,900,14610.248,24205,6600,'Y',1
41,'M',75637,0.59,3529,'MONTHLY ISSUANCE',16436.096774,22513.7,200,13890.721429,40614.6,2491.4,'Y',1
45,'M',170449,3.09,6261,'MONTHLY ISSUANCE',26395.527419,36926.5,700,25742.977049,51916.6,7200,'N',1
34,'M',121947,2.97,3839,'MONTHLY ISSUANCE',46613.385,186015.1,117.1,42051.528205,137533.6,12200,'N',1
59,'F',177686,1.71,6295,'ISSUANCE AFTER TRANSACTION',31518.313333,43832.3,200,25145.136364,70699,3100,'Y',1
44,'M',85852,8.23,2822,'MONTHLY ISSUANCE',50216.365714,177559.9,158.7,44421.335294,142717.6,7900,'Y',1
20,'M',197099,2.31,4265,'MONTHLY ISSUANCE',36556.278571,52885.2,200,33834.369231,57665.6,13400,'Y',1
21,'F',387570,1.96,18696,'MONTHLY ISSUANCE',14852.536,21055.8,500,12040.895652,24337.3,2322.7,'Y',1
55,'M',74062,2.62,1181,'MONTHLY ISSUANCE',10903.258824,17301.2,300,11492.316129,21370,1400,'Y',1
22,'M',93931,1.54,1913,'MONTHLY ISSUANCE',29360.9625,143659,5.9,23424.104545,123290.6,14.6,'Y',0
36,'M',226122,4.79,9208,'MONTHLY ISSUANCE',17816.08,24825.8,1100,19102.13913,39881.6,7100,'Y',0
55,'M',139012,3.49,2799,'MONTHLY ISSUANCE',48730.689474,146205.4,132,39311.664865,108996.6,15305.6,'N',1
54,'F',1204953,0.43,99107,'MONTHLY ISSUANCE',13554.665625,21691.3,11900,13095.406667,36098.6,4906.6,'Y',1
32,'F',53921,3.26,1875,'MONTHLY ISSUANCE',34393.838462,179659.2,125.5,30096.731579,159997.3,314.6,'Y',1
47,'F',119895,9.4,4743,'MONTHLY ISSUANCE',26638.252,38262.6,900,23611.169565,45614.6,10714.6,'Y',1
45,'F',86513,4.52,1460,'MONTHLY ISSUANCE',34368.933333,47460.7,31579.1,29814.191304,51103.6,1400,'Y',1
39,'F',125832,4.12,2103,'MONTHLY ISSUANCE',48230.112281,66447.2,44254.6,44114.271429,114603.6,9600,'Y',1
38,'F',1204953,0.43,99107,'MONTHLY ISSUANCE',35164.442105,52742.6,500,30682.023529,105023.5,5312.3,'Y',1
34,'F',1204953,0.43,99107,'MONTHLY ISSUANCE',50565.247059,69322.6,46189.7,39294.61875,131360.6,11991.6,'N',1
31,'F',81344,3.97,2487,'MONTHLY ISSUANCE',50666.768966,118291.7,700,47149.107143,106614.6,10192.6,'Y',1
20,'M',112709,2.31,2618,'MONTHLY ISSUANCE',26426.703448,44859.1,900,24497.421429,53698.6,900,'N',1
31,'F',119895,9.4,4743,'MONTHLY ISSUANCE',30904.275556,137154,50,26899.685714,135457.6,7357.6,'N',1
28,'F',145688,1.86,2906,'MONTHLY ISSUANCE',42897.006383,60493.3,500,39231.267391,87814.6,9600,'N',1
30,'M',75637,0.59,3529,'MONTHLY ISSUANCE',12918.380952,19307.4,600,13387.8875,24520.6,3500,'Y',0
42,'M',121947,2.97,3839,'MONTHLY ISSUANCE',22954.952381,32136.8,19761.7,20206.231579,41382.4,7400,'Y',1
33,'M',88768,1.21,3620,'MONTHLY ISSUANCE',23353.058065,34616.6,400,20199.896552,40971.8,7300,'Y',1
27,'M',226122,4.79,9208,'WEEKLY ISSUANCE',24935.050943,108492.5,129.4,21051.269231,97154,2300,'Y',1
51,'F',112709,2.31,2618,'WEEKLY ISSUANCE',51428.435714,70609.8,46983.2,43807.755556,93065,12065,'N',1
40,'M',1204953,0.43,99107,'MONTHLY ISSUANCE',47190.023333,123984,175.2,43368.87931,151411.9,12797.3,'Y',1
63,'M',177686,1.71,6295,'MONTHLY ISSUANCE',32233.656716,64235.7,800,27474.390909,93914.6,2100,'N',1
45,'M',162580,1.81,5410,'MONTHLY ISSUANCE',27534.678788,98420.2,169.6,23563.7125,93114.6,2414.6,'Y',1
42,'M',162580,1.81,5410,'MONTHLY ISSUANCE',32172.689286,45330.2,600,24163.777778,41614.6,3900,'Y',1
60,'M',102609,5.45,2134,'MONTHLY ISSUANCE',12020.908333,45601,1,9215.375,38114.6,14.6,'Y',0
26,'M',112065,1.44,4987,'MONTHLY ISSUANCE',17190.125,24354.7,800,18581.157143,31062.6,10200,'Y',1
54,'M',323870,5.44,18347,'MONTHLY ISSUANCE',33156.39697,140910.9,34,28205.683333,143760.6,14.6,'Y',1
38,'M',285387,7.75,10108,'MONTHLY ISSUANCE',35498.376667,154984.3,267.3,34359.857143,162641.6,2700,'Y',1
21,'F',85852,8.23,2822,'MONTHLY ISSUANCE',46236.950943,155214,130.9,43536.678431,134733.9,1300,'N',1
46,'M',70646,3.64,1542,'MONTHLY ISSUANCE',29237.011765,116858,37.9,25591.85625,60800,7000,'Y',0
57,'F',117897,5.74,2059,'MONTHLY ISSUANCE',45440.193548,172386.8,157.6,40238.74,127935.6,10735.6,'Y',1
23,'M',1204953,0.43,99107,'MONTHLY ISSUANCE',56345.69375,124550.4,1000,59438.542857,156753.3,10700,'N',1
55,'F',81344,3.97,2487,'MONTHLY ISSUANCE',23749.461765,33548.9,1000,19071.13125,41054.4,9400,'Y',1
63,'M',125236,7.68,5190,'MONTHLY ISSUANCE',35966.3,50973.1,600,31632.690909,55914.6,4300,'Y',1
